video_id,trending_date,title,channel_title,category_id,publish_time,tags,views,likes,dislikes,comment_count,thumbnail_link,comments_disabled,ratings_disabled,video_error_or_removed
10L1hZ9qa58,2017-11-14,StylishStarAlluArjunChaySamWeddingReceptionTFPC,TFPC,24,2017-11-12 15:48,nagachaitanya|samantha|chaysam|nagarjuna|tfpc,473988,2011,243,149,https://i.ytimg.com/vi/10L1hZ9qa58/default.jpg,0,0,0
kJzGH0PVQHQ,2017-11-14,whySamanthabecameEMOTIONALSamanthanagachaithanyamarriageReceptionFilmylooks,Filmylooks,24,2017-11-13 01:14,Filmylooks,464015,492,293,66,https://i.ytimg.com/vi/kJzGH0PVQHQ/default.jpg,0,0,0
KObFEYCaRx8,2017-11-14,ChiranjeeviinNagaChaitanyaSamanthaReceptionChaitanyaSamanthaAkkineniNagVenkatesh,Top Telugu Media,24,2017-11-13 04:42,Nag|Venkatesh|Samantha|Nagarjuna|#ChaiSam|reception,118223,520,53,23,https://i.ytimg.com/vi/KObFEYCaRx8/default.jpg,0,0,0
4du1KXBl4YU,2017-11-14,MehjabiRevealsHinaKhanDirtyPoliticsExclusiveInterviewBiggBoss11,TellyMasala,24,2017-11-12 17:30,Tellymasala|Mehjabi|siddiqui,632747,4330,2183,2869,https://i.ytimg.com/vi/4du1KXBl4YU/default.jpg,0,0,0
CLl1RbxDRAs,2017-11-14,MeriSettingKarwadoPrankBakchodikiHaddTSTcommentTrolling,TroubleSeekerTeam,23,2017-11-12 13:16,love|friendship|dost|relationship|pranks|funny|TroubleSeekerTeam|comedy,209599,14070,448,1105,https://i.ytimg.com/vi/CLl1RbxDRAs/default.jpg,0,0,0
1ZAPwfrtAFY,2017-11-14,TheTrumpPresidencyLastWeekTonightwithJohnOliverHBO,LastWeekTonight,24,2017-11-13 07:30,,2418783,97187,6146,12703,https://i.ytimg.com/vi/1ZAPwfrtAFY/default.jpg,0,0,0
ZIHhuwvT7R0,2017-11-14,AsliFighterOkkaAmmayiThappa2017NEWFullHindiDubbedMovieSundeepKishanNithyaMenen,RKD Digital,24,2017-11-11 19:24,,2294242,14960,1361,913,https://i.ytimg.com/vi/ZIHhuwvT7R0/default.jpg,0,0,0
Mqfh8_Uk1eM,2017-11-14,SudigaaliSudheerPerformanceExtraJabardasth10thNovember2017ETVTelugu,ETV Jabardasth,22,2017-11-10 20:38,super2|jabardasth|etv20|roja|rashmi|dhanraj|chandra|venu|chanti|raghava,1956925,9504,938,956,https://i.ytimg.com/vi/Mqfh8_Uk1eM/default.jpg,0,0,0
1kuJkA9usqg,2017-11-14,DeivamagalEpisode1387131117,VikatanTV,24,2017-11-13 15:00,deivamagal|VikatanTV|devamagal|deviamagal|deivamahal|devaimagal|divamagal,387221,2159,1214,711,https://i.ytimg.com/vi/1kuJkA9usqg/default.jpg,0,0,0
0SMKG3SRGzQ,2017-11-14,Ranahungamaat#ChaySamWeddingReceptionTV9,TV9 Telugu,19,2017-11-12 16:08,,176472,588,52,23,https://i.ytimg.com/vi/0SMKG3SRGzQ/default.jpg,0,0,0
